"subj_idx","trial_num","stim","rt","response","age"
"121615_1",1,"None",5499,0,4.23
"121615_1",2,"Some",5292,0,4.23
"121615_1",3,"All",2458,1,4.23
"121615_1",4,"None",3574,0,4.23
"121615_1",5,"All",351,1,4.23
"121615_1",6,"None",1228,0,4.23
"121615_1",7,"Some",1718,0,4.23
"121615_1",8,"None",2259,0,4.23
"121615_1",9,"All",1444,1,4.23
"121615_1",10,"Some",1703,0,4.23
"121615_1",11,"All",3097,1,4.23
"121615_1",12,"None",4233,0,4.23
"121615_1",13,"All",2415,1,4.23
"121615_1",14,"None",1328,0,4.23
"121615_1",15,"All",1266,1,4.23
"121615_1",16,"All",2205,1,4.23
"121615_1",17,"Some",1130,0,4.23
"121615_1",18,"None",10837,1,4.23
"121615_1",19,"None",1240,0,4.23
"121615_1",20,"All",2542,1,4.23
"121615_1",21,"Some",7277,0,4.23
"121615_1",22,"None",3542,0,4.23
"121615_1",23,"All",7676,0,4.23
"121715_1",1,"None",8999,0,3.12
"121715_1",2,"All",4118,1,3.12
"121715_1",3,"None",1628,0,3.12
"121715_1",4,"Some",5431,0,3.12
"121715_1",6,"Some",10819,1,3.12
"121715_1",7,"All",7854,0,3.12
"121715_1",8,"Some",6217,0,3.12
"121715_1",9,"None",4498,0,3.12
"121715_1",10,"All",6399,1,3.12
"121715_1",11,"Some",3908,0,3.12
"121715_1",12,"None",12751,0,3.12
"121715_1",13,"Some",11016,0,3.12
"121715_1",14,"All",3495,1,3.12
"121715_1",15,"Some",2845,0,3.12
"121715_1",16,"Some",2568,0,3.12
"121715_1",17,"All",6779,1,3.12
"121715_1",18,"None",7511,0,3.12
"121715_1",19,"None",7648,0,3.12
"121715_1",20,"None",9250,0,3.12
"121715_1",21,"All",5637,1,3.12
"121715_1",22,"Some",3797,0,3.12
"121715_1",23,"Some",3399,0,3.12
"121715_1",24,"All",2574,1,3.12
"121715_1",25,"None",3335,0,3.12
"121715_1",26,"All",3028,1,3.12
"121715_1",27,"Some",1528,0,3.12
"121715_1",28,"None",3935,0,3.12
"121715_1",29,"All",3904,1,3.12
"121715_1",30,"None",2844,0,3.12
"121815_1",1,"Some",3753,0,4.59
"121815_1",2,"Some",2759,0,4.59
"121815_1",3,"Some",2469,0,4.59
"121815_1",4,"All",4398,1,4.59
"121815_1",5,"All",2447,1,4.59
"121815_1",6,"None",2890,0,4.59
"121815_1",7,"Some",2183,0,4.59
"121815_1",8,"Some",4078,0,4.59
"121815_1",9,"None",2412,0,4.59
"121815_1",10,"None",6300,0,4.59
"121815_1",11,"None",4796,0,4.59
"121815_1",12,"Some",4491,1,4.59
"121815_1",13,"None",3853,0,4.59
"121815_1",14,"None",3983,0,4.59
