"subj_idx","age","trial_num","trial_type","rt","response"
"1816_6",4.47365,29,"all",2.146,1
"1816_6",4.47365,30,"none",4.027,0
"11016_1",4.63518,1,"none",11.061,0
"11016_1",4.63518,2,"some",1.9,0
"11016_1",4.63518,3,"all",2.069,1
"11016_1",4.63518,4,"all",1.856,1
"11016_1",4.63518,5,"all",2.007,1
"11016_1",4.63518,6,"all",2.04,1
"11016_1",4.63518,7,"none",1.845,0
"11016_1",4.63518,8,"all",5.308,1
"11016_1",4.63518,9,"none",5.671,0
"11016_1",4.63518,10,"none",1.13,0
"11016_1",4.63518,11,"some",9.586,1
"11016_1",4.63518,12,"none",1.042,0
"11016_1",4.63518,13,"some",4.332,0
"11016_1",4.63518,14,"none",7.431,0
"11016_1",4.63518,15,"some",1.053,0
"11016_1",4.63518,16,"some",1.617,0
"11016_1",4.63518,17,"all",3.009,1
"11016_1",4.63518,18,"none",1.053,0
"11016_1",4.63518,19,"some",2.143,1
