"subj_idx","age","trial_num","trial_type","rt","response"
"121815_3",4.37509,28,"none",6.291,1
"121815_3",4.37509,29,"all",3.045,1
"121815_3",4.37509,30,"all",1.901,1
"121815_4",4.98015,1,"none",6.175,0
"121815_4",4.98015,2,"all",3.175,1
"121815_4",4.98015,3,"some",4.822,0
"121815_4",4.98015,4,"all",3.935,1
"121815_4",4.98015,5,"all",1.221,1
"121815_4",4.98015,6,"none",4.682,0
"121815_4",4.98015,7,"all",5.538,1
"121815_4",4.98015,8,"some",3.713,1
"121815_4",4.98015,9,"all",1.119,1
"121815_4",4.98015,10,"all",1.75,1
"121815_4",4.98015,11,"none",1.585,0
"121815_4",4.98015,12,"some",1.863,1
"121815_4",4.98015,13,"some",2.661,1
"121815_4",4.98015,14,"all",1.299,1
"121815_4",4.98015,15,"all",1.274,1
"121815_4",4.98015,16,"all",1.659,1
"121815_4",4.98015,17,"none",2.143,0
"121815_4",4.98015,18,"some",1.842,1
"121815_4",4.98015,19,"some",1.316,1
"121815_4",4.98015,20,"none",1.86,0
"121815_4",4.98015,21,"some",2.077,0
"121815_4",4.98015,22,"none",1.555,0
"121815_4",4.98015,23,"some",1.765,0
"121815_4",4.98015,24,"some",1.774,0
"121815_4",4.98015,25,"none",1.16,0
"121815_4",4.98015,26,"none",1.235,0
"121815_4",4.98015,27,"none",3.117,0
"121815_4",4.98015,28,"all",1.051,1
"121815_4",4.98015,29,"some",1.327,1
"121815_4",4.98015,30,"none",1.257,0
"121815_5",6.00958,2,"some",2.169,0
"121815_5",6.00958,3,"all",1.434,1
"121815_5",6.00958,4,"all",1.119,1
"121815_5",6.00958,5,"none",1.643,0
"121815_5",6.00958,6,"some",1.762,0
"121815_5",6.00958,7,"some",1.726,0
"121815_5",6.00958,8,"some",1.406,0
"121815_5",6.00958,9,"none",3.052,0
"121815_5",6.00958,10,"all",2.494,1
"121815_5",6.00958,11,"all",1.718,1
"121815_5",6.00958,13,"all",3.442,1
"121815_5",6.00958,14,"all",2.014,1
"121815_5",6.00958,15,"all",1.322,1
"121815_5",6.00958,16,"none",2.381,0
"121815_5",6.00958,17,"some",1.912,0
"121815_5",6.00958,18,"some",1.756,0
"121815_5",6.00958,19,"some",2.009,0
"121815_5",6.00958,20,"some",1.432,0
"121815_5",6.00958,21,"all",2.309,1
"121815_5",6.00958,22,"some",3.044,0
"121815_5",6.00958,23,"none",2.941,1
"121815_5",6.00958,24,"none",1.324,0
"121815_5",6.00958,25,"none",3.222,0
"121815_5",6.00958,26,"none",1.007,0
"121815_5",6.00958,27,"none",1.474,0
"121815_7",3.99179,1,"some",5.288,1
"121815_7",3.99179,2,"none",4.486,0
"121815_7",3.99179,3,"all",3.78,1
"121815_7",3.99179,4,"none",6.808,0
"121815_7",3.99179,5,"all",8.897,1
"121815_7",3.99179,6,"none",6.847,0
"121815_7",3.99179,7,"all",6.761,1
"121815_7",3.99179,9,"some",3.337,0
"121815_7",3.99179,10,"none",1.953,0
"121815_7",3.99179,11,"all",2.064,1
"121815_7",3.99179,12,"all",1.009,1
"121815_7",3.99179,13,"all",2.359,1
"121815_7",3.99179,14,"all",3.289,1
"121815_7",3.99179,15,"all",2.365,0
"121815_7",3.99179,16,"some",1.004,0
"121815_7",3.99179,17,"some",3.247,0
"121815_7",3.99179,18,"none",1.515,0
"121815_7",3.99179,19,"none",1.704,0
"121815_7",3.99179,20,"none",3.127,0
"121815_7",3.99179,21,"some",1.468,1
"121815_7",3.99179,22,"some",2.16,0
"1616_1",4,1,"some",9.608,0
"1616_1",4,3,"some",9.003,0
"1616_1",4,6,"all",8.872,1
"1616_1",4,7,"some",12.797,0
"1616_1",4,8,"some",6.729,0
"1616_1",4,9,"some",6.449,0
